Name,No. of Reviews,Area,Est. Price ($),Categories,URL
Toa Payoh Rojak (Old Airport Road Food Centre),17,Old Airport Road,5,"Local Delights, Hawker Food",https://www.burpple.com/toa-payoh-rojak-old-aiport-road?bp_ref=%2Fsearch%2Fsg
717 Trading (Old Airport Road Food Centre),1,Old Airport Road,,Local Delights,https://www.burpple.com/717-trading-old-airport-road?bp_ref=%2Fsearch%2Fsg
Salt (Old Airport Road Food Centre),13,Old Airport Road,10,"Western, Hawker Food",https://www.burpple.com/salt?bp_ref=%2Fsearch%2Fsg
Kim Satay (Old Airport Road Food Centre),7,Old Airport Road,5,Hawker Food,https://www.burpple.com/kim-satay?bp_ref=%2Fsearch%2Fsg
132 Claypot Rice (Old Airport Road Food Centre),2,Old Airport Road,5,Hawker Food,https://www.burpple.com/132-claypot-rice?bp_ref=%2Fsearch%2Fsg
Pasta Manna (Old Airport Road Food Centre),10,Old Airport Road,5,"Pasta, Hawker Food, Western",https://www.burpple.com/pasta-manna?bp_ref=%2Fsearch%2Fsg
Nyonya Chendol (Old Airport Road Food Centre),21,Old Airport Road,5,"Desserts, Hawker Food",https://www.burpple.com/nyonya-chendol?bp_ref=%2Fsearch%2Fsg
Jing Jing (Old Airport Road Food Centre),2,Old Airport Road,5,"Hawker Food, Desserts",https://www.burpple.com/jing-jing?bp_ref=%2Fsearch%2Fsg
51 Soya Bean (Old Airport Road Food Centre),5,Old Airport Road,,"Hawker Food, Supper, Desserts",https://www.burpple.com/51-soya-bean?bp_ref=%2Fsearch%2Fsg
Selera Rasa (Old Airport Road Food Centre),3,Old Airport Road,5,Hawker Food,https://www.burpple.com/selera-rasa-0142-old-airport-road-market-centre?bp_ref=%2Fsearch%2Fsg
168 Curry Chicken (Old Airport Road Food Centre),2,Old Airport Road,5,Hawker Food,https://www.burpple.com/168-curry-chicken?bp_ref=%2Fsearch%2Fsg
Yummy Thai (Old Airport Road Food Centre),1,Old Airport Road,5,"Thai, Hawker Food",https://www.burpple.com/yummy-thai?bp_ref=%2Fsearch%2Fsg
Ying Ying Beef Noodles (Old Airport Road Food Centre),1,Old Airport Road,,"Rainy Day Comforts, Hawker Food",https://www.burpple.com/ying-ying-beef-noodle?bp_ref=%2Fsearch%2Fsg
Lao Ban Soya Beancurd (Old Airport Road Food Centre),36,Old Airport Road,5,"Local Delights, Desserts, Hawker Food",https://www.burpple.com/lao-ban-soya-beancurd-5?bp_ref=%2Fsearch%2Fsg
3rd Culture Brewing Co. (Old Airport Road Food Centre),1,Old Airport Road,10,"Craft Beer, Hawker Food",https://www.burpple.com/3rd-culture-brewing-co-1?bp_ref=%2Fsearch%2Fsg
Xin Mei Xiang Lor Mee (Old Airport Road Food Centre),55,Old Airport Road,5,Hawker Food,https://www.burpple.com/xin-mei-xiang-lor-mee-old-airport-road?bp_ref=%2Fsearch%2Fsg
Chef Hong H.K. Bakery (Old Airport Road Food Centre),7,Old Airport Road,5,"Bread, Desserts",https://www.burpple.com/chef-hong-hk-bakery?bp_ref=%2Fsearch%2Fsg
Xing Li Cooked Food (Old Airport Road Food Centre),10,Old Airport Road,5,"Cheap & Good, Hawker Food",https://www.burpple.com/xing-li-cooked-food?bp_ref=%2Fsearch%2Fsg
Tiong Bahru Lor Mee (Old Airport Road Food Centre),3,Old Airport Road,5,Hawker Food,https://www.burpple.com/tiong-bahru-lor-me-old-airport-hawker?bp_ref=%2Fsearch%2Fsg
To-Ricos Kway Chap (Old Airport Road Food Centre),28,Old Airport Road,5,Hawker Food,https://www.burpple.com/toricos-kway-chap--kallang-old-airport-food-centre?bp_ref=%2Fsearch%2Fsg
Chong Pang Huat (Old Airport Road Food Centre),3,Old Airport Road,5,Hawker Food,https://www.burpple.com/chong-pang-huat-old-airport?bp_ref=%2Fsearch%2Fsg
Yi Ji Drinks Stall (Old Airport Road Food Centre),1,Old Airport Road,5,Hawker Food,https://www.burpple.com/yi-ji-drinks-stall?bp_ref=%2Fsearch%2Fsg
Qing Carrot Cake 慶菜頭粿 (Old Airport Road Food Centre),3,Old Airport Road,5,Hawker Food,https://www.burpple.com/qing-carrot-cake?bp_ref=%2Fsearch%2Fsg
Yi Xiang Yuan Spicy Hotpot (Old Airport Road Food Centre),1,Old Airport Road,10,"Hawker Food, Chinese",https://www.burpple.com/yi-xiang-yuan-spicy-hotpot-old-airport-road-market?bp_ref=%2Fsearch%2Fsg
Tan Beng Otah Delights (Old Airport Road Food Centre),1,Old Airport Road,5,Hawker Food,https://www.burpple.com/tan-beng-otah-delights?bp_ref=%2Fsearch%2Fsg
Momo's Mini Pau (Old Airport Road Food Centre),1,Old Airport Road,,"Dim Sum, Hawker Food",https://www.burpple.com/momos-mini-pau?bp_ref=%2Fsearch%2Fsg
Hock Leng Satay Bee Hoon (Old Airport Road Food Centre),1,Old Airport Road,,"Kopitiam, Hawker Food",https://www.burpple.com/hock-leng-satay-bee-hoon?bp_ref=%2Fsearch%2Fsg
Soo Kee Fishball Noodle (Old Airport Road Food Centre),2,Old Airport Road,5,Hawker Food,https://www.burpple.com/soo-kee-fishball-noodle-and-mushroom-minced-meat-noodle?bp_ref=%2Fsearch%2Fsg
Hougang Jing Jia Mutton Soup (Old Airport Road Food Centre),5,Old Airport Road,5,"Soup, Hawker Food",https://www.burpple.com/hougang-jing-jia-mutton-soup?bp_ref=%2Fsearch%2Fsg
Whitley Road Big Prawn Noodle (Old Airport Road Food Centre),24,Old Airport Road,5,Hawker Food,https://www.burpple.com/whitley-road-big-prawn-noodle-old-airport-road?bp_ref=%2Fsearch%2Fsg
Rong Yi Local Homemade Pau (Old Airport Road Food Centre),2,Old Airport Road,5,"Dim Sum, Hawker Food",https://www.burpple.com/rong-yi-local-homemade-pau?bp_ref=%2Fsearch%2Fsg
Kallang Cantonese Prawn Noodle (Old Airport Road Food Centre),7,Old Airport Road,5,"Rainy Day Comforts, Hawker Food",https://www.burpple.com/kallang-cantonese-prawn-noodle?bp_ref=%2Fsearch%2Fsg
Jun Yuan House Of Fish (Old Airport Road Food Centre),5,Old Airport Road,5,"Soup, Hawker Food",https://www.burpple.com/jun-yuan-house-of-fish?bp_ref=%2Fsearch%2Fsg
Wang Wang Crispy Curry Puff (Old Airport Road Food Centre),9,Old Airport Road,5,"Local Delights, Hawker Food",https://www.burpple.com/wang-wang-crispy-cury-puf-old-airport-road?bp_ref=%2Fsearch%2Fsg
Albert Street Prawn Noodle (Old Airport Road Food Centre),34,Old Airport Road,5,Hawker Food,https://www.burpple.com/albert-street-prawn-noodle-old-airport-road-hawker-ctr?bp_ref=%2Fsearch%2Fsg
Ru Ji Kitchen (Old Airport Road Food Centre),4,Old Airport Road,5,Hawker Food,https://www.burpple.com/ru-ji-kitchen-1?bp_ref=%2Fsearch%2Fsg
Cho Kee Noodle (Old Airport Road Food Centre),16,Old Airport Road,5,Hawker Food,https://www.burpple.com/cho-kee-noodle-pte-ltd?bp_ref=%2Fsearch%2Fsg
New Eastern Kim Tee 新东方 (Old Airport Road Food Centre),7,Old Airport Road,5,Hawker Food,https://www.burpple.com/neweasternkimtee?bp_ref=%2Fsearch%2Fsg
Fu Dao Home Made Satay (Old Airport Road Food Centre),3,Old Airport Road,5,Hawker Food,https://www.burpple.com/fu-dao-home-made-satay?bp_ref=%2Fsearch%2Fsg
Jia Mei Bakery (Old Airport Road Food Centre),2,Old Airport Road,5,"Cheap & Good, Bread, Desserts",https://www.burpple.com/jia-mei-bakery?bp_ref=%2Fsearch%2Fsg
Unkai Teppanyaki & Japanese Cuisine (Old Airport Road Food Centre),11,Old Airport Road,20,"Seafood, Japanese, Cheap & Good, Hawker Food",https://www.burpple.com/unkai?bp_ref=%2Fsearch%2Fsg
Xin Mei Congee (Old Airport Road Food Centre),2,Old Airport Road,5,Hawker Food,https://www.burpple.com/xin-mei-congee?bp_ref=%2Fsearch%2Fsg
Qiu Rong Ban Mian (Old Airport Road Food Centre),21,Old Airport Road,5,"Rainy Day Comforts, Hawker Food, Cheap & Good",https://www.burpple.com/qiu-rong-ban-mian?bp_ref=%2Fsearch%2Fsg
OAR Seafood Soup (Old Airport Road Food Centre),6,Old Airport Road,10,"Soup, Seafood, Rainy Day Comforts, Hawker Food",https://www.burpple.com/oar-seafood-soup?bp_ref=%2Fsearch%2Fsg
Chuan Kee Satay (Old Airport Road Food Centre),5,Old Airport Road,5,"Local Delights, Hawker Food",https://www.burpple.com/chuan-kee-satay?bp_ref=%2Fsearch%2Fsg
Ru Ji Kitchen (Old Airport Road Food Centre),4,Old Airport Road,5,Hawker Food,https://www.burpple.com/ru-ji-kitchen-1?bp_ref=%2Fsearch%2Fsg
Just Juice It (Old Airport Road Food Centre),2,Old Airport Road,5,"Healthy, Hawker Food",https://www.burpple.com/meilock-soursop-juice-more?bp_ref=%2Fsearch%2Fsg
J & J Special Beef Noodle (Old Airport Road Food Centre),12,Old Airport Road,5,Hawker Food,https://www.burpple.com/j--j-beef-noodles?bp_ref=%2Fsearch%2Fsg
Cho Kee Noodle (Old Airport Road Food Centre),16,Old Airport Road,5,Hawker Food,https://www.burpple.com/cho-kee-noodle-pte-ltd?bp_ref=%2Fsearch%2Fsg
New Eastern Kim Tee 新东方 (Old Airport Road Food Centre),7,Old Airport Road,5,Hawker Food,https://www.burpple.com/neweasternkimtee?bp_ref=%2Fsearch%2Fsg
Fu Dao Home Made Satay (Old Airport Road Food Centre),3,Old Airport Road,5,Hawker Food,https://www.burpple.com/fu-dao-home-made-satay?bp_ref=%2Fsearch%2Fsg
Qiu Rong Ban Mian (Old Airport Road Food Centre),21,Old Airport Road,5,"Rainy Day Comforts, Hawker Food, Cheap & Good",https://www.burpple.com/qiu-rong-ban-mian?bp_ref=%2Fsearch%2Fsg
OAR Seafood Soup (Old Airport Road Food Centre),6,Old Airport Road,10,"Soup, Seafood, Rainy Day Comforts, Hawker Food",https://www.burpple.com/oar-seafood-soup?bp_ref=%2Fsearch%2Fsg
Jin Hua Sliced Fish Bee Hoon 金华鱼片米粉 (Old Airport Road Food Centre),7,Old Airport Road,5,Hawker Food,https://www.burpple.com/jin-hua-sliced-fish-bee-hoon?bp_ref=%2Fsearch%2Fsg
Dong Ji Fried Kway Teow 東記炒粿條 (Old Airport Road Food Centre),43,Old Airport Road,5,"Char Kway Teow, Cheap & Good, Hawker Food",https://www.burpple.com/dong-ji-fried-kway-teow?bp_ref=%2Fsearch%2Fsg
Xiang Ji Lor Mee • Zha Jiang Mian (Old Airport Road Food Centre),3,Old Airport Road,5,Hawker Food,https://www.burpple.com/xiang-ji-lor-mee-old-airport-road?bp_ref=%2Fsearch%2Fsg
Lao Fu Zi Fried Kway Teow 老夫子炒粿条 (Old Airport Road Food Centre),33,Old Airport Road,5,"Char Kway Teow, Hawker Food, Supper",https://www.burpple.com/lao-fu-zi-fried-kway-teow?bp_ref=%2Fsearch%2Fsg
Yi Ji Fried Hokkien Prawn Mee (Old Airport Road Food Centre),5,Old Airport Road,5,Hawker Food,https://www.burpple.com/yi-ji-fried-hokkien-prawn-mee-1?bp_ref=%2Fsearch%2Fsg
Hock Lam Street Popular Beef Kway Teow (Old Airport Road Food Centre),2,Old Airport Road,5,Hawker Food,https://www.burpple.com/hock-lam-street-popular-beef-kway-teow-1?bp_ref=%2Fsearch%2Fsg
Seng Kee Ngo Hiang Prawn Cracker (Old Airport Road Food Centre),2,Old Airport Road,5,"Local Delights, Hawker Food",https://www.burpple.com/seng-kee-ngo-hiang-prawn-cracker?bp_ref=%2Fsearch%2Fsg
Xian Wei Seafood White Bee Hoon (Old Airport Road Food Centre),0,Old Airport Road,10,"Seafood, Hawker Food",https://www.burpple.com/xian-wei-seafood-white-bee-hoon?bp_ref=%2Fsearch%2Fsg
Hua Kee Hougang Famous Wan Ton Mee (Old Airport Road Food Centre),39,Old Airport Road,5,"Cheap & Good, Hawker Food",https://www.burpple.com/hua-kee-hougang-famous-wanton-mee?bp_ref=%2Fsearch%2Fsg
Jin Huat Cooked Food (Kallang Estate Food Centre),1,Old Airport Road,5,Hawker Food,https://www.burpple.com/jin-huat-cooked-food?bp_ref=%2Fsearch%2Fsg
Choon Guan,6,Old Airport Road,5,Hawker Food,https://www.burpple.com/choon-guan-coffeeshop?bp_ref=%2Fsearch%2Fsg
EDJ Food 蟹好 (Old Airport Market & Food Centre),1,Old Airport Road,15,"Zi Char, Seafood, Hawker Food",https://www.burpple.com/edj-food?bp_ref=%2Fsearch%2Fsg
MEETUP @ 13,2,Old Airport Road,10,Hawker Food,https://www.burpple.com/meet-up-13?bp_ref=%2Fsearch%2Fsg
San Tong Steamed Soup & Delicious Seafood (Kallang Estate Food Centre),1,Old Airport Road,10,"Zi Char, Hawker Food",https://www.burpple.com/kallang-estate-fresh-market-food-centre?bp_ref=%2Fsearch%2Fsg
One North Teochew Porridge,1,One North,10,"Local Delights, Hawker Food",https://www.burpple.com/samsui-teochew-porridge?bp_ref=%2Fsearch%2Fsg
The Gut's Feeling,2,One North,10,"1-for-1 Deals, Salads, Burgers, Healthy, Burpple Beyond",https://www.burpple.com/the-guts-feeling?bp_ref=%2Fsearch%2Fsg
Donna,1,One North,,"Bars, Cocktails, Chinese, Western",https://www.burpple.com/donna-fusionopolis?bp_ref=%2Fsearch%2Fsg
Quiznos (Galaxis),5,One North,10,"1-for-1 Deals, Sandwiches",https://www.burpple.com/quiznos-galaxis?bp_ref=%2Fsearch%2Fsg
Iskina Cebu (Timbre+),29,One North,10,"Good For Groups, BBQ",https://www.burpple.com/iskina-cebu?bp_ref=%2Fsearch%2Fsg
Souperstar (Fusionopolis One),8,One North,10,"Soup, Local Delights, Healthy, 1-for-1 Deals",https://www.burpple.com/souperstar-fusionopolis-one?bp_ref=%2Fsearch%2Fsg
Bread Yard,177,One North,20,"Bread, Cafes & Coffee, Breakfast & Brunch, Sandwiches",https://www.burpple.com/bread-yard?bp_ref=%2Fsearch%2Fsg
Timbre+,531,One North,10,"Bars, Kopitiam, Local Delights, Hawker Food, Late Night",https://www.burpple.com/timbreplus?bp_ref=%2Fsearch%2Fsg
Subway (One-North),3,One North,10,"Sandwiches, Fast Food, Halal",https://www.burpple.com/subway-77?bp_ref=%2Fsearch%2Fsg
Mr Bean (one-north MRT),3,One North,5,"Desserts, Healthy",https://www.burpple.com/mr-bean-25?bp_ref=%2Fsearch%2Fsg
Burgs By Project Warung (Timbre+),79,One North,5,"Hawker Food, Cheap & Good, Burgers, Western, Halal",https://www.burpple.com/burgz-by-project-warung-golden-mile-food-centre?bp_ref=%2Fsearch%2Fsg
Roots@onenorth,2,One North,,"Steak, French, Italian, Dinner with Drinks, Date Night",https://www.burpple.com/rootsonenorth-3-fusionopolis-place-galaxis-workloft?bp_ref=%2Fsearch%2Fsg
Jimmy Monkey Café & Bar,218,Buona Vista,25,"Burpple Guides, Breakfast & Brunch, Good For Groups, Cafes & Coffee, Western",https://www.burpple.com/jimmy-monkey-cafe-bar?bp_ref=%2Fsearch%2Fsg
Food Barn (Fusionopolis),23,One North,20,"Western, Breakfast & Brunch, Sandwiches, Burgers",https://www.burpple.com/food-barn-1?bp_ref=%2Fsearch%2Fsg
Apples & Oranges (Galaxis),4,One North,5,Healthy,https://www.burpple.com/apples-oranges-fusionopolis?bp_ref=%2Fsearch%2Fsg
Ya Kun Toastwich (Fusionopolis),23,One North,5,"Local Delights, Cafes & Coffee, Bread",https://www.burpple.com/ya-kun-toastwich-2?bp_ref=%2Fsearch%2Fsg
爺 · YEAH Taiwanese Street Food (Timbre+),4,One North,5,Taiwanese,https://www.burpple.com/yeah-taiwanese-modern-street-food?bp_ref=%2Fsearch%2Fsg
Pallakkuoly Hawker Treats,1,Buona Vista,10,"Indian, Hawker Food, Halal",https://www.burpple.com/pallakkuoly-hawker-treats?bp_ref=%2Fsearch%2Fsg
Jimmy Monkey Too,3,Buona Vista,,"Cafes & Coffee, Breakfast & Brunch",https://www.burpple.com/jimmy-monkey-too?bp_ref=%2Fsearch%2Fsg
Daehwa Vegetarian,9,One North,15,"Vegetarian, Korean, Healthy",https://www.burpple.com/daehwa-vegetarian?bp_ref=%2Fsearch%2Fsg
Teppei Syokudo X Yama Udon (Fusionopolis),15,One North,15,Japanese,https://www.burpple.com/teppei-syokudo-x-yama-udon?bp_ref=%2Fsearch%2Fsg
Ristorante Pietrasanta,59,One North,50,"Pizza, Pasta, Italian, Dinner with Drinks, Date Night",https://www.burpple.com/pietrasanta-the-italian-restaurant?bp_ref=%2Fsearch%2Fsg
Woobbee (Innovis),3,One North,5,Desserts,https://www.burpple.com/woobbee-5?bp_ref=%2Fsearch%2Fsg
Hoodadak Korean Fusion Dining Room,9,One North,20,"Korean, Korean Desserts, Korean Fried Chicken",https://www.burpple.com/hoodadak?bp_ref=%2Fsearch%2Fsg
Big Bern's American Grill (Timbre+),9,One North,20,"Steak, Burgers, Western",https://www.burpple.com/big-berns-ameican-grill-at-timbre?bp_ref=%2Fsearch%2Fsg
Rong Hua Bak Kut Teh (Fusionopolis),10,One North,10,"Bak Kut Teh, Hawker Food, Chinese",https://www.burpple.com/rong-hua-bak-kut-teh?bp_ref=%2Fsearch%2Fsg
Nsquared Barbecue (Timbre+),2,One North,10,"Western, BBQ",https://www.burpple.com/nsquared-barbecue?bp_ref=%2Fsearch%2Fsg
Starbucks (Fusionopolis),42,One North,10,Cafes & Coffee,https://www.burpple.com/starbucks-131?bp_ref=%2Fsearch%2Fsg
Fishball Story (Timbre+),27,One North,5,"Local Delights, Hawker Food, Cheap & Good",https://www.burpple.com/fishball-story-2?bp_ref=%2Fsearch%2Fsg
Koufu (Fusionopolis),13,One North,10,"Kopitiam, Hawker Food",https://www.burpple.com/koufu-foodcourt-at-fusionopolis?bp_ref=%2Fsearch%2Fsg
Spinelli Coffee Company (Galaxis),4,One North,10,Cafes & Coffee,https://www.burpple.com/spinelli-coffee-roasters?bp_ref=%2Fsearch%2Fsg
Wang Jiao Ban Mian (Timbre+),4,One North,5,Hawker Food,https://www.burpple.com/wang-jiao-ban-mian?bp_ref=%2Fsearch%2Fsg
Hainan Lady Hainanese Chicken Rice,2,Dover,5,"Chicken Rice, Local Delights, Hawker Food",https://www.burpple.com/hainan-lady-hainanese-chicken-rice?bp_ref=%2Fsearch%2Fsg
Bowl Chap,9,One North,5,"Japanese, Hawker Food",https://www.burpple.com/bowl-chap?bp_ref=%2Fsearch%2Fsg
RED Noodle & Bottle Bar,12,One North,10,"Local Delights, Bars, Late Night",https://www.burpple.com/red-noodle-bottle-bar?bp_ref=%2Fsearch%2Fsg
Curry Nations,0,One North,20,Indian,https://www.burpple.com/currynations?bp_ref=%2Fsearch%2Fsg
Curry Nations,0,One North,20,Indian,https://www.burpple.com/currynations?bp_ref=%2Fsearch%2Fsg
The Soup Spoon (Fusionopolis),3,One North,10,"Soup, Salads, Healthy, Sandwiches",https://www.burpple.com/the-soup-spoon-16?bp_ref=%2Fsearch%2Fsg
Empress Porridge (Galaxis),22,One North,10,"Rainy Day Comforts, Local Delights, Chinese",https://www.burpple.com/empress-porridge-galaxis?bp_ref=%2Fsearch%2Fsg
Passionz Cafe,1,One North,,"Local Delights, Cafes & Coffee",https://www.burpple.com/just-cafe-at-passionz?bp_ref=%2Fsearch%2Fsg
MOS Burger (Fusionopolis One),1,One North,10,"Fast Food, Burgers",https://www.burpple.com/mos-burger-singapore-3?bp_ref=%2Fsearch%2Fsg
Guest La Mien (Fusionopolis),5,One North,5,Hawker Food,https://www.burpple.com/guest-la-mien-fusionopolis?bp_ref=%2Fsearch%2Fsg
Tea Tree Cafe (Fusionopolis),1,One North,5,Desserts,https://www.burpple.com/tea-tree-cafe-2?bp_ref=%2Fsearch%2Fsg
Kopifellas (Timbre+),1,One North,5,Cafes & Coffee,https://www.burpple.com/kopifellas?bp_ref=%2Fsearch%2Fsg
Jiajia+ (Timbre+),1,One North,5,Hawker Food,https://www.burpple.com/jiajia-mee-hoon-kueh-timbre?bp_ref=%2Fsearch%2Fsg
Mac's Cafe & Bar,1,One North,20,"Bars, Western",https://www.burpple.com/macs-coffee-bar?bp_ref=%2Fsearch%2Fsg
SaladStop! (Fusionopolis),25,One North,10,"Salads, Healthy",https://www.burpple.com/salad-stop?bp_ref=%2Fsearch%2Fsg
Dover Coffee House (Pinfen Dover Cafeteria),8,Dover,5,"Kopitiam, Hawker Food",https://www.burpple.com/dover-coffee-house-pinfen-dover-cafeteria?bp_ref=%2Fsearch%2Fsg
Food Anatomy (Timbre+),10,One North,10,"Interesting, Salads",https://www.burpple.com/food-anatomy?bp_ref=%2Fsearch%2Fsg
Wong Kee Wanton Noodle (Timbre+),49,One North,5,"Local Delights, Cheap & Good, Hawker Food",https://www.burpple.com/wong-kee-wanton-noodle?bp_ref=%2Fsearch%2Fsg
Arkadaş Cafe,49,One North,,"Middle Eastern, Turkish, Good For Groups, Cafes & Coffee",https://www.burpple.com/arkadas-cafe-fusionopolis?bp_ref=%2Fsearch%2Fsg
Dutch Colony Coffee Co. (Fusionopolis One),20,One North,15,"Desserts, Breakfast & Brunch, Cafes & Coffee, Cakes",https://www.burpple.com/dutch-colony-coffee-one-north?bp_ref=%2Fsearch%2Fsg
STYLE By STYLE VIBES Café (Mediacorp Campus),11,Portsdown,20,"Cafes & Coffee, Cakes, Breakfast & Brunch, Desserts",https://www.burpple.com/style-by-style-vibes-cafe?bp_ref=%2Fsearch%2Fsg
Shin Nichi Japanese Restaurant (Fusionopolis),2,One North,20,Japanese,https://www.burpple.com/shin-nichi-japanese-restaurant?bp_ref=%2Fsearch%2Fsg
Attap House (Galaxis),9,One North,10,Local Delights,https://www.burpple.com/attap-house?bp_ref=%2Fsearch%2Fsg
Green Croft (Galaxis),13,One North,15,"Salads, Healthy",https://www.burpple.com/green-croft?bp_ref=%2Fsearch%2Fsg
D'Pastriez (Fusionopolis),3,One North,5,"Bread, Cakes, Desserts",https://www.burpple.com/dpastriez-fusionopolis?bp_ref=%2Fsearch%2Fsg
Winnie’s,12,One North,5,Desserts,https://www.burpple.com/winnies-singapore?bp_ref=%2Fsearch%2Fsg
JC Nasi Lemak (Timbre+),2,One North,5,"Hawker Food, Malay",https://www.burpple.com/jc-nasi-lemak?bp_ref=%2Fsearch%2Fsg
Racha Maprao,5,One North,5,"Thai, Ice Cream & Yoghurt, Desserts",https://www.burpple.com/racha-maprao?bp_ref=%2Fsearch%2Fsg
JC Nasi Lemak (Timbre+),2,One North,5,"Hawker Food, Malay",https://www.burpple.com/jc-nasi-lemak?bp_ref=%2Fsearch%2Fsg
Bakery Cuisine (Connexis),2,One North,5,Bread,https://www.burpple.com/bakery-cuisine-4?bp_ref=%2Fsearch%2Fsg
Yunnan Garden Restaurant,3,One North,40,"Dim Sum, Chinese",https://www.burpple.com/yunnan-garden-onenorth?bp_ref=%2Fsearch%2Fsg
Café Melba (Mediapolis),31,Portsdown,20,"Good For Groups, Western, Cafes & Coffee, Breakfast & Brunch",https://www.burpple.com/cafe-melba-at-mediapolis?bp_ref=%2Fsearch%2Fsg
Chillas,9,One North,15,"Indian, Good For Groups",https://www.burpple.com/chillas?bp_ref=%2Fsearch%2Fsg
Tuckshop @ Solaris,1,One North,,"Kopitiam, Hawker Food",https://www.burpple.com/tuckshop-solaris?bp_ref=%2Fsearch%2Fsg
One Man Coffee (Fusionopolis Two),79,One North,20,"Breakfast & Brunch, Cafes & Coffee",https://www.burpple.com/one-man-coffee-fusionopolis-two?bp_ref=%2Fsearch%2Fsg
Zhen Neng Zhu (Fusionopolis),1,One North,10,Chinese,https://www.burpple.com/zhen-nen-zhu?bp_ref=%2Fsearch%2Fsg
Hungry Thai (Timbre+),9,One North,10,Thai,https://www.burpple.com/hungry-thai?bp_ref=%2Fsearch%2Fsg
Curbside Cafe & Wine Bar,49,One North,20,"Bars, Western, Cafes & Coffee, Breakfast & Brunch",https://www.burpple.com/curbside-cafe-wine-bar?bp_ref=%2Fsearch%2Fsg
Food Chain Food Court (Fusionopolis),74,One North,5,Hawker Food,https://www.burpple.com/courtyard-by-food-chain-management-pte-ltd?bp_ref=%2Fsearch%2Fsg
FoodMaster (Fusionopolis),6,One North,10,"Kopitiam, Hawker Food",https://www.burpple.com/foodmaster?bp_ref=%2Fsearch%2Fsg
Deliveroo Food Market (Mediapolis),3,Portsdown,15,"Vietnamese, Salads, Japanese, Sandwiches",https://www.burpple.com/deliveroo-food-market?bp_ref=%2Fsearch%2Fsg
Veera's Cafe (Fusionopolis),1,One North,10,Indian,https://www.burpple.com/veeras-cafe-fusionopolis?bp_ref=%2Fsearch%2Fsg
Pho Street (Galaxis),3,One North,15,Vietnamese,https://www.burpple.com/pho-street-galaxis?bp_ref=%2Fsearch%2Fsg
San Lou,1,Buona Vista,30,Bars,https://www.burpple.com/sanlousg?bp_ref=%2Fsearch%2Fsg
Biseryu Japanese Cuisines,98,Orchard,25,"Steak, Japanese, 1-for-1 Deals, Burpple Beyond, Newly Opened",https://www.burpple.com/biseryu-japanese-cuisines?bp_ref=%2Fsearch%2Fsg
California Pizza Kitchen,50,Orchard,25,"Kid Friendly, Pizza, Western, 1-for-1 Deals",https://www.burpple.com/california-pizza-kitchen-sg?bp_ref=%2Fsearch%2Fsg
The Dark Gallery (Takashimaya),115,Orchard,10,"Ice Cream & Yoghurt, Cakes, Desserts, 1-for-1 Deals",https://www.burpple.com/the-dark-gallery-takashimaya-1?bp_ref=%2Fsearch%2Fsg
The Coffee Academics (Scotts Square),429,Orchard,30,"Western, Desserts, Breakfast & Brunch, 1-for-1 Deals, Cafes & Coffee",https://www.burpple.com/the-coffee-academics-singapore?bp_ref=%2Fsearch%2Fsg
The 1872 Clipper Tea Co.,159,Orchard,10,"High Tea, Desserts, 1-for-1 Deals",https://www.burpple.com/the-1872-clipper-tea-co?bp_ref=%2Fsearch%2Fsg
The Sushi Bar (Far East Plaza),549,Orchard,35,"Sushi, Chirashi, 1-for-1 Deals, Japanese",https://www.burpple.com/the-sushi-bar?bp_ref=%2Fsearch%2Fsg
The Coffee Bean & Tea Leaf (*SCAPE),8,Orchard,15,"Cafes & Coffee, 1-for-1 Deals, Breakfast & Brunch, Burpple Beyond",https://www.burpple.com/the-coffee-bean-tea-leaf-scape?bp_ref=%2Fsearch%2Fsg
Nishiki Tako (ION Orchard),29,Orchard,5,"Fast Food, Japanese, 1-for-1 Deals",https://www.burpple.com/nishiki-tako?bp_ref=%2Fsearch%2Fsg
Mellower Coffee (MSpace At Maybank),4,Orchard,5,"Desserts, 1-for-1 Deals, Cafes & Coffee",https://www.burpple.com/mellower-coffee-mspace-maybank?bp_ref=%2Fsearch%2Fsg
Xi Yan Casual Dining (Shaw Centre),77,Orchard,30,"Good For Groups, Chinese",https://www.burpple.com/xi-yan-shaw?bp_ref=%2Fsearch%2Fsg
Kiss N' Mango,2,Orchard,5,"Ice Cream & Yoghurt, 1-for-1 Deals, Desserts, Burpple Beyond",https://www.burpple.com/kiss-n-mango?bp_ref=%2Fsearch%2Fsg
Knicker+Bockers (Shaw House),8,Orchard,15,"Pizza, Western, 1-for-1 Deals",https://www.burpple.com/knickerbockers-shaw-centre?bp_ref=%2Fsearch%2Fsg
Burger+,25,Orchard,20,"Korean, Korean Fried Chicken, Burgers, Newly Opened",https://www.burpple.com/burgerplussg?bp_ref=%2Fsearch%2Fsg
8 Korean BBQ (Shaw Centre),65,Orchard,35,"Korean BBQ, Korean, Good For Groups, 1-for-1 Deals, BBQ",https://www.burpple.com/8-korean-bbq-shaw-centre?bp_ref=%2Fsearch%2Fsg
The Drunken Poet,11,Orchard,,"Bars, Western, Late Night, 1-for-1 Deals",https://www.burpple.com/the-drunken-poet?bp_ref=%2Fsearch%2Fsg
